Benchmark                               columnFamilyTestType  keyCount  keySize  valueSize   Mode  Cnt       Score       Error  Units
GetBenchmarks.ffiGetOutputSlice                      no_column_family      100000        128         4096  thrpt   25   64291.419 ±  1151.756  ops/s
GetBenchmarks.ffiGetOutputSlice                      no_column_family      100000        128        32768  thrpt   25   35393.140 ±   384.554  ops/s
GetBenchmarks.ffiGetOutputSlice                      no_column_family      100000        128       130072  thrpt   25   16530.851 ±    99.670  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family        1000        128         4096  thrpt   12  313545.690 ± 16898.814  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family        1000        128        32768  thrpt   25   41810.122 ±   724.093  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family        1000        128       130072  thrpt   25   17750.190 ±   108.777  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family      100000        128         4096  thrpt   25   69277.791 ±  1210.060  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family      100000        128        32768  thrpt   25   39351.842 ±   620.683  ops/s
GetBenchmarks.ffiGetPinnableSlice                    no_column_family      100000        128       130072  thrpt   25   18732.541 ±    92.323  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family        1000        128         4096  thrpt   25  205367.451 ±  5164.557  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family        1000        128        32768  thrpt   25   34612.870 ±   234.713  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family        1000        128       130072  thrpt   25   12751.282 ±   109.208  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family      100000        128         4096  thrpt   25   56741.818 ±  1300.424  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family      100000        128        32768  thrpt   25   27485.112 ±   171.642  ops/s
GetBenchmarks.ffiGetRandom                           no_column_family      100000        128       130072  thrpt   25   12381.439 ±    98.442  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family        1000        128         4096  thrpt   18  271751.737 ±  9780.256  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family        1000        128        32768  thrpt   25   35637.209 ±   405.370  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family        1000        128       130072  thrpt   25   15145.986 ±    98.809  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family      100000        128         4096  thrpt   25   63117.034 ±  1215.064  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family      100000        128        32768  thrpt   25   34275.593 ±   374.325  ops/s
GetBenchmarks.ffiPreallocatedGet                     no_column_family      100000        128       130072  thrpt   25   15990.968 ±   104.256  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family        1000        128         4096  thrpt   20  258443.188 ± 14367.215  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family        1000        128        32768  thrpt   25   43861.215 ±   630.738  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family        1000        128       130072  thrpt   25   15898.718 ±   102.746  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family      100000        128         4096  thrpt   25   60738.330 ±   751.122  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family      100000        128        32768  thrpt   25   32985.292 ±   392.325  ops/s
GetBenchmarks.ffiPreallocatedGetRandom               no_column_family      100000        128       130072  thrpt   25   15216.205 ±   110.312  ops/s
GetBenchmarks.get                                    no_column_family        1000        128         4096  thrpt   25  431788.444 ±  3634.249  ops/s
GetBenchmarks.get                                    no_column_family        1000        128        32768  thrpt   25   33664.813 ±   201.615  ops/s
GetBenchmarks.get                                    no_column_family        1000        128       130072  thrpt   25   12799.269 ±    48.901  ops/s
GetBenchmarks.get                                    no_column_family      100000        128         4096  thrpt   25   79331.711 ±  1183.335  ops/s
GetBenchmarks.get                                    no_column_family      100000        128        32768  thrpt   25   32350.676 ±   373.255  ops/s
GetBenchmarks.get                                    no_column_family      100000        128       130072  thrpt   25   13387.083 ±    52.474  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family        1000        128         4096  thrpt   25  630485.342 ±  5278.869  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family        1000        128        32768  thrpt   25   44259.667 ±   391.591  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family        1000        128       130072  thrpt   25   16633.185 ±    90.660  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family      100000        128         4096  thrpt   25   87879.488 ±  1339.351  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family      100000        128        32768  thrpt   25   41779.097 ±   294.259  ops/s
GetBenchmarks.preallocatedByteBufferGet              no_column_family      100000        128       130072  thrpt   25   17471.879 ±    61.928  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family        1000        128         4096  thrpt   25  595411.259 ±  9503.950  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family        1000        128        32768  thrpt   25   54021.417 ±   572.407  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family        1000        128       130072  thrpt   25   17630.588 ±    72.573  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family      100000        128         4096  thrpt   25   82298.320 ±   615.037  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family      100000        128        32768  thrpt   25   39524.029 ±   355.461  ops/s
GetBenchmarks.preallocatedByteBufferGetRandom        no_column_family      100000        128       130072  thrpt   25   16740.203 ±    83.641  ops/s
GetBenchmarks.preallocatedGet                        no_column_family        1000        128         4096  thrpt   25  634987.901 ±  8801.232  ops/s
GetBenchmarks.preallocatedGet                        no_column_family        1000        128        32768  thrpt   25   44281.741 ±   218.671  ops/s
GetBenchmarks.preallocatedGet                        no_column_family        1000        128       130072  thrpt   25   16624.144 ±   100.715  ops/s
GetBenchmarks.preallocatedGet                        no_column_family      100000        128         4096  thrpt   25   90174.327 ±  1027.447  ops/s
GetBenchmarks.preallocatedGet                        no_column_family      100000        128        32768  thrpt   25   41856.085 ±   581.119  ops/s
GetBenchmarks.preallocatedGet                        no_column_family      100000        128       130072  thrpt   25   17399.334 ±   100.069  ops/s
