"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: columnFamilyTestType","Param: keyCount","Param: keySize","Param: valueSize"
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,346139.062102,6802.437658,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,19079.675946,246.139717,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,69721.822306,2164.218551,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,19191.020233,167.443788,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,497354.217221,9211.379433,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,25401.218620,267.753143,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,76721.390467,1274.895087,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,25616.220028,212.425367,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,551915.489273,9629.630346,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,28960.369496,293.941826,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,77408.658815,737.072886,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,28721.512045,314.501225,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,328638.450579,6207.628306,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,20320.427288,217.360918,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,64836.075505,1166.322681,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,18478.356309,149.116343,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,448576.855691,9016.349414,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,24305.368162,321.005438,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,73233.222747,864.617112,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,24591.981525,212.080121,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,411980.103951,20199.439514,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,26544.677723,300.024488,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,68341.785829,1330.401644,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,23475.114154,254.986152,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,413538.849178,3840.283061,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,20653.877813,192.853679,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,77300.272980,1381.034176,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,20716.463059,126.433849,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,606058.013951,11610.198353,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,27156.401813,208.073969,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,87685.218269,852.667120,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,27185.585247,231.929397,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,544285.546198,15473.842406,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,29706.899083,245.010091,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,82374.284066,921.587715,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,25651.578105,214.490832,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,577368.954387,25476.611308,"ops/s",no_column_family,1000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,27146.627871,274.123783,"ops/s",no_column_family,1000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,89107.400728,1987.760563,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,27266.662301,219.466878,"ops/s",no_column_family,100000,128,65536
