"Benchmark","Mode","Threads","Samples","Score","Error","Unit","columnFamilyTestType","keyCount","keySize","valueSize"
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,71344.100371,1078.009974,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGet","thrpt",1,25,19895.068764,111.372114,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,76759.951653,1410.337777,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetOutputSlice","thrpt",1,25,26509.585371,126.524226,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,77990.340139,2223.453268,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetPinnableSlice","thrpt",1,25,30053.709766,198.464311,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,40636.888276,483.496924,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiGetRandom","thrpt",1,25,16400.501716,229.047359,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiIdentity","thrpt",1,25,32239711.996013,779517.617732,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiIdentity","thrpt",1,25,32815876.125456,59611.517950,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,73423.853045,998.780502,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGet","thrpt",1,25,25666.673535,168.498066,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,40356.570272,646.141754,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.ffiPreallocatedGetRandom","thrpt",1,25,16152.824667,186.958651,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,81265.646222,1114.036493,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.get","thrpt",1,25,21558.247322,95.354226,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,91807.457068,1093.649999,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGet","thrpt",1,25,27639.227611,121.527980,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,81728.515471,1882.202376,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedByteBufferGetRandom","thrpt",1,25,26447.543860,121.758819,"ops/s",no_column_family,100000,128,65536
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,90276.298381,1185.123474,"ops/s",no_column_family,100000,128,4096
"org.rocksdb.jmh.GetBenchmarks.preallocatedGet","thrpt",1,25,27816.676247,222.978417,"ops/s",no_column_family,100000,128,65536
