Benchmark,keyCount,keySize,valueSize,Score
GetBenchmarks.ffiGet,1000,128,4096,217876.519
GetBenchmarks.ffiGet,1000,128,32768,73455.880
GetBenchmarks.ffiGet,100000,128,4096,186084.217
GetBenchmarks.ffiGet,100000,128,32768,71162.465
GetBenchmarks.ffiGetPinnableSlice,1000,128,4096,329102.456
GetBenchmarks.ffiGetPinnableSlice,1000,128,32768,309860.938
GetBenchmarks.ffiGetPinnableSlice,100000,128,4096,265861.892
GetBenchmarks.ffiGetPinnableSlice,100000,128,32768,247915.935
GetBenchmarks.ffiGetRandom,1000,128,4096,211490.769
GetBenchmarks.ffiGetRandom,1000,128,32768,73436.235
GetBenchmarks.ffiGetRandom,100000,128,4096,154337.979
GetBenchmarks.ffiGetRandom,100000,128,32768,64663.287
GetBenchmarks.ffiPreallocatedGet,1000,128,4096,277313.829
GetBenchmarks.ffiPreallocatedGet,1000,128,32768,124648.924
GetBenchmarks.ffiPreallocatedGet,100000,128,4096,221155.515
GetBenchmarks.ffiPreallocatedGet,100000,128,32768,120291.800
GetBenchmarks.ffiPreallocatedGetRandom,1000,128,4096,264165.834
GetBenchmarks.ffiPreallocatedGetRandom,1000,128,32768,134182.261
GetBenchmarks.ffiPreallocatedGetRandom,100000,128,4096,181692.741
GetBenchmarks.ffiPreallocatedGetRandom,100000,128,32768,102209.776
GetBenchmarks.get,1000,128,4096,435813.818
GetBenchmarks.get,1000,128,32768,33807.290
GetBenchmarks.get,100000,128,4096,79340.105
GetBenchmarks.get,100000,128,32768,32802.629
GetBenchmarks.preallocatedByteBufferGet,1000,128,4096,609231.502
GetBenchmarks.preallocatedByteBufferGet,1000,128,32768,44448.275
GetBenchmarks.preallocatedByteBufferGet,100000,128,4096,89325.742
GetBenchmarks.preallocatedByteBufferGet,100000,128,32768,42635.926
GetBenchmarks.preallocatedByteBufferGetRandom,1000,128,4096,586584.027
GetBenchmarks.preallocatedByteBufferGetRandom,1000,128,32768,54566.007
GetBenchmarks.preallocatedByteBufferGetRandom,100000,128,4096,81700.797
GetBenchmarks.preallocatedByteBufferGetRandom,100000,128,32768,39924.987
GetBenchmarks.preallocatedGet,1000,128,4096,590154.718
GetBenchmarks.preallocatedGet,1000,128,32768,44034.334
GetBenchmarks.preallocatedGet,100000,128,4096,91288.859
GetBenchmarks.preallocatedGet,100000,128,32768,41693.055
