Benchmark,keyCount,keySize,valueSize,Score
GetBenchmarks.ffiGetOutputSlice,100000,128,4096,64291.419
GetBenchmarks.ffiGetOutputSlice,100000,128,32768,35393.140
GetBenchmarks.ffiGetOutputSlice,100000,128,130072,16530.851
GetBenchmarks.ffiGetPinnableSlice,1000,128,4096,313545.690
GetBenchmarks.ffiGetPinnableSlice,1000,128,32768,41810.122
GetBenchmarks.ffiGetPinnableSlice,1000,128,130072,17750.190
GetBenchmarks.ffiGetPinnableSlice,100000,128,4096,69277.791
GetBenchmarks.ffiGetPinnableSlice,100000,128,32768,39351.842
GetBenchmarks.ffiGetPinnableSlice,100000,128,130072,18732.541
GetBenchmarks.ffiGetRandom,1000,128,4096,205367.451
GetBenchmarks.ffiGetRandom,1000,128,32768,34612.870
GetBenchmarks.ffiGetRandom,1000,128,130072,12751.282
GetBenchmarks.ffiGetRandom,100000,128,4096,56741.818
GetBenchmarks.ffiGetRandom,100000,128,32768,27485.112
GetBenchmarks.ffiGetRandom,100000,128,130072,12381.439
GetBenchmarks.ffiPreallocatedGet,1000,128,4096,271751.737
GetBenchmarks.ffiPreallocatedGet,1000,128,32768,35637.209
GetBenchmarks.ffiPreallocatedGet,1000,128,130072,15145.986
GetBenchmarks.ffiPreallocatedGet,100000,128,4096,63117.034
GetBenchmarks.ffiPreallocatedGet,100000,128,32768,34275.593
GetBenchmarks.ffiPreallocatedGet,100000,128,130072,15990.968
GetBenchmarks.ffiPreallocatedGetRandom,1000,128,4096,258443.188
GetBenchmarks.ffiPreallocatedGetRandom,1000,128,32768,43861.215
GetBenchmarks.ffiPreallocatedGetRandom,1000,128,130072,15898.718
GetBenchmarks.ffiPreallocatedGetRandom,100000,128,4096,60738.330
GetBenchmarks.ffiPreallocatedGetRandom,100000,128,32768,32985.292
GetBenchmarks.ffiPreallocatedGetRandom,100000,128,130072,15216.205
GetBenchmarks.get,1000,128,4096,431788.444
GetBenchmarks.get,1000,128,32768,33664.813
GetBenchmarks.get,1000,128,130072,12799.269
GetBenchmarks.get,100000,128,4096,79331.711
GetBenchmarks.get,100000,128,32768,32350.676
GetBenchmarks.get,100000,128,130072,13387.083
GetBenchmarks.preallocatedByteBufferGet,1000,128,4096,630485.342
GetBenchmarks.preallocatedByteBufferGet,1000,128,32768,44259.667
GetBenchmarks.preallocatedByteBufferGet,1000,128,130072,16633.185
GetBenchmarks.preallocatedByteBufferGet,100000,128,4096,87879.488
GetBenchmarks.preallocatedByteBufferGet,100000,128,32768,41779.097
GetBenchmarks.preallocatedByteBufferGet,100000,128,130072,17471.879
GetBenchmarks.preallocatedByteBufferGetRandom,1000,128,4096,595411.259
GetBenchmarks.preallocatedByteBufferGetRandom,1000,128,32768,54021.417
GetBenchmarks.preallocatedByteBufferGetRandom,1000,128,130072,17630.588
GetBenchmarks.preallocatedByteBufferGetRandom,100000,128,4096,82298.320
GetBenchmarks.preallocatedByteBufferGetRandom,100000,128,32768,39524.029
GetBenchmarks.preallocatedByteBufferGetRandom,100000,128,130072,16740.203
GetBenchmarks.preallocatedGet,1000,128,4096,634987.901
GetBenchmarks.preallocatedGet,1000,128,32768,44281.741
GetBenchmarks.preallocatedGet,1000,128,130072,16624.144
GetBenchmarks.preallocatedGet,100000,128,4096,90174.327
GetBenchmarks.preallocatedGet,100000,128,32768,41856.085
GetBenchmarks.preallocatedGet,100000,128,130072,17399.334
